area_code,area
5402,Northern Europe
162,Norway
5500,Oceania
221,Oman
165,Pakistan
299,Palestine
166,Panama
168,Papua New Guinea
169,Paraguay
170,Peru
171,Philippines
173,Poland
5504,Polynesia
174,Portugal
177,Puerto Rico
179,Qatar
117,Republic of Korea
146,Republic of Moldova
182,Réunion
183,Romania
185,Russian Federation
184,Rwanda
188,Saint Kitts and Nevis
189,Saint Lucia
191,Saint Vincent and the Grenadines
244,Samoa
193,Sao Tome and Principe
194,Saudi Arabia
195,Senegal
272,Serbia
186,Serbia and Montenegro
196,Seychelles
197,Sierra Leone
200,Singapore
199,Slovakia
198,Slovenia
5803,Small Island Developing States
25,Solomon Islands
201,Somalia
202,South Africa
5207,South America
277,South Sudan
5304,South-eastern Asia
5104,Southern Africa
5303,Southern Asia
5403,Southern Europe
203,Spain
38,Sri Lanka
276,Sudan
206,Sudan (former)
207,Suriname
210,Sweden
211,Switzerland
212,Syrian Arab Republic
208,Tajikistan
216,Thailand
176,Timor-Leste
217,Togo
218,Tokelau
219,Tonga
220,Trinidad and Tobago
222,Tunisia
223,Türkiye
213,Turkmenistan
227,Tuvalu
226,Uganda
230,Ukraine
225,United Arab Emirates
229,United Kingdom of Great Britain and Northern Ireland
215,United Republic of Tanzania
231,United States of America
234,Uruguay
228,USSR
235,Uzbekistan
155,Vanuatu
236,Venezuela (Bolivarian Republic of)
237,Viet Nam
5105,Western Africa
5305,Western Asia
5404,Western Europe
5000,World
249,Yemen
248,Yugoslav SFR
251,Zambia
181,Zimbabwe
51000,Africa (excluding intra-trade)
52000,Americas (excluding intra-trade)
53000,Asia (excluding intra-trade)
55010,Australia and New Zealand (excluding intra-trade)
52060,Caribbean (excluding intra-trade)
52040,Central America (excluding intra-trade)
53010,Central Asia (excluding intra-trade)
265,China (excluding intra-trade)
51010,Eastern Africa (excluding intra-trade)
53020,Eastern Asia (excluding intra-trade)
54010,Eastern Europe (excluding intra-trade)
54000,Europe (excluding intra-trade)
261,European Union (12) (excluding intra-trade)
266,European Union (15) (excluding intra-trade)
268,European Union (25) (excluding intra-trade)
269,European Union (27) (excluding Croatia) (excluding intra-trade)
57070,European Union (27) (excluding intra-trade)
57060,European Union (28) (excluding intra-trade)
58020,Land Locked Developing Countries (excluding intra-trade)
58010,Least Developed Countries (excluding intra-trade)
58150,Low Income Food Deficit Countries (excluding intra-trade)
55020,Melanesia (excluding intra-trade)
55030,Micronesia (excluding intra-trade)
51020,Middle Africa (excluding intra-trade)
58170,Net Food Importing Developing Countries (excluding intra-trade)
51030,Northern Africa (excluding intra-trade)
52030,Northern America (excluding intra-trade)
54020,Northern Europe (excluding intra-trade)
55000,Oceania (excluding intra-trade)
55040,Polynesia (excluding intra-trade)
58030,Small Island Developing States (excluding intra-trade)
52070,South America (excluding intra-trade)
53040,South-Eastern Asia (excluding intra-trade)
51040,Southern Africa (excluding intra-trade)
53030,Southern Asia (excluding intra-trade)
54030,Southern Europe (excluding intra-trade)
51050,Western Africa (excluding intra-trade)
53050,Western Asia (excluding intra-trade)
54040,Western Europe (excluding intra-trade)
